file_name,transcription
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_200/030926_200.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_201/030926_201.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_202/030926_202.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_203/030926_203.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_204/030926_204.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_205/030926_205.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_206/030926_206.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_207/030926_207.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_208/030926_208.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_209/030926_209.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_21/030926_21.wav,do yyy waffles but
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_210/030926_210.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_211/030926_211.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_212/030926_212.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_213/030926_213.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_214/030926_214.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_215/030926_215.wav,up
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_216/030926_216.wav,up
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_217/030926_217.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_218/030926_218.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_219/030926_219.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_22/030926_22.wav,waffle
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_220/030926_220.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_221/030926_221.wav,where is it
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_222/030926_222.wav,a raisin
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_223/030926_223.wav,yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_224/030926_224.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_225/030926_225.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_226/030926_226.wav,up
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_227/030926_227.wav,up
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_228/030926_228.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_229/030926_229.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_23/030926_23.wav,waffle
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_230/030926_230.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_231/030926_231.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_232/030926_232.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_233/030926_233.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_234/030926_234.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_235/030926_235.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_236/030926_236.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_237/030926_237.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_238/030926_238.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_239/030926_239.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_24/030926_24.wav,waffle
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_240/030926_240.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_241/030926_241.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_242/030926_242.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_243/030926_243.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_244/030926_244.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_245/030926_245.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_246/030926_246.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_247/030926_247.wav,i see you
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_248/030926_248.wav,i see you
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_249/030926_249.wav,i see you
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_25/030926_25.wav,okay
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_250/030926_250.wav,i see you
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_251/030926_251.wav,i see you
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_252/030926_252.wav,i see you
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_253/030926_253.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_254/030926_254.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_255/030926_255.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_256/030926_256.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_257/030926_257.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_258/030926_258.wav,go pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_259/030926_259.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_26/030926_26.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_260/030926_260.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_261/030926_261.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_262/030926_262.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_263/030926_263.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_264/030926_264.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_265/030926_265.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_266/030926_266.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_267/030926_267.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_268/030926_268.wav,no raisins
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_269/030926_269.wav,yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_27/030926_27.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_28/030926_28.wav,red
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_29/030926_29.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_3/030926_3.wav,bananas
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_30/030926_30.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_31/030926_31.wav,my tum
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_32/030926_32.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_33/030926_33.wav,yeah
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_34/030926_34.wav,me want food
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_35/030926_35.wav,all done
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_36/030926_36.wav,i want food
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_37/030926_37.wav,food
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_38/030926_38.wav,i want food
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_39/030926_39.wav,food
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_4/030926_4.wav,carrots
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_40/030926_40.wav,food
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_41/030926_41.wav,yyy yyy yyy help me
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_42/030926_42.wav,somebody is sitting in my blue chair
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_43/030926_43.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_44/030926_44.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_45/030926_45.wav,hi yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_46/030926_46.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_47/030926_47.wav,help
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_48/030926_48.wav,what about me
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_49/030926_49.wav,no her put yyy away
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_5/030926_5.wav,open
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_50/030926_50.wav,my tum
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_51/030926_51.wav,blue hats
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_52/030926_52.wav,eggs
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_53/030926_53.wav,waffle
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_54/030926_54.wav,waffle
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_55/030926_55.wav,a pot
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_56/030926_56.wav,too big
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_57/030926_57.wav,open
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_58/030926_58.wav,food
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_59/030926_59.wav,food
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_6/030926_6.wav,open
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_60/030926_60.wav,i dont know
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_61/030926_61.wav,a frog
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_62/030926_62.wav,frog
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_63/030926_63.wav,frog
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_64/030926_64.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_65/030926_65.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_66/030926_66.wav,i did it
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_67/030926_67.wav,do it again
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_68/030926_68.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_69/030926_69.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_7/030926_7.wav,oh yeah pooh bear
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_70/030926_70.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_71/030926_71.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_72/030926_72.wav,me and you
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_73/030926_73.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_74/030926_74.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_75/030926_75.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_76/030926_76.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_77/030926_77.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_78/030926_78.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_79/030926_79.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_8/030926_8.wav,yyy yyy
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_80/030926_80.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_81/030926_81.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_82/030926_82.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_83/030926_83.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_84/030926_84.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_85/030926_85.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_86/030926_86.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_87/030926_87.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_88/030926_88.wav,my turn
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_89/030926_89.wav,me too
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_9/030926_9.wav,what is this
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_90/030926_90.wav,take them out
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_91/030926_91.wav,out out out out out out out out
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_92/030926_92.wav,out
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_93/030926_93.wav,but my hungry right now
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_94/030926_94.wav,hungry
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_95/030926_95.wav,hungry
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_96/030926_96.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_97/030926_97.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_98/030926_98.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/030926_99/030926_99.wav,pop
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/031004_1/031004_1.wav,up
C:/Users/Yasiru/Downloads/wav2vec2 datasets/output arranged/train/031004_10/031004_10.wav,up
