file_name,transcription
dev\040305_156\040305_156.wav,a shape and a sheep
dev\040305_157\040305_157.wav,i yyy this and this
dev\040305_158\040305_158.wav,okay
dev\040305_159\040305_159.wav,shape
dev\040305_16\040305_16.wav,spilled
dev\040305_160\040305_160.wav,shape
dev\040305_161\040305_161.wav,shape
dev\040305_162\040305_162.wav,shape
dev\040305_163\040305_163.wav,shape
dev\040305_164\040305_164.wav,okay what this
dev\040305_165\040305_165.wav,what this
dev\040305_166\040305_166.wav,mini microphone
dev\040305_167\040305_167.wav,shape
dev\040305_168\040305_168.wav,hi
dev\040305_169\040305_169.wav,no i like
dev\040305_17\040305_17.wav,spill
dev\040305_170\040305_170.wav,oh cake game
dev\040305_171\040305_171.wav,is it different
dev\040305_172\040305_172.wav,is it different
dev\040305_173\040305_173.wav,shape
dev\040305_174\040305_174.wav,shape
dev\040305_175\040305_175.wav,um  the brown one
dev\040305_176\040305_176.wav,the heart one
dev\040305_177\040305_177.wav,us need the heart one
dev\040305_178\040305_178.wav,this one
dev\040305_179\040305_179.wav,me want push yyy to move
dev\040305_18\040305_18.wav,spilled
dev\040305_180\040305_180.wav,cake
dev\040305_181\040305_181.wav,cake
dev\040305_182\040305_182.wav,us need pink frosting
dev\040305_183\040305_183.wav,a brown frosting
dev\040305_184\040305_184.wav,right here
dev\040305_185\040305_185.wav,yyy right here
dev\040305_186\040305_186.wav,cake
dev\040305_187\040305_187.wav,make
dev\040305_188\040305_188.wav,make
dev\040305_189\040305_189.wav,brown
dev\040305_19\040305_19.wav,spilled
dev\040305_190\040305_190.wav,pink
dev\040305_191\040305_191.wav,squirt
dev\040305_192\040305_192.wav,squirt
dev\040305_193\040305_193.wav,squirt
dev\040305_194\040305_194.wav,heart shape
dev\040305_195\040305_195.wav,okay
dev\040305_196\040305_196.wav,another
dev\040305_197\040305_197.wav,what this for
dev\040305_198\040305_198.wav,shape
dev\040305_199\040305_199.wav,shape
dev\040305_2\040305_2.wav,hockey stick
dev\040305_20\040305_20.wav,i spilled
dev\040305_200\040305_200.wav,a square
dev\040305_201\040305_201.wav,square
dev\040305_202\040305_202.wav,yyy where this comes from
dev\040305_203\040305_203.wav,what where this comes from
dev\040305_204\040305_204.wav,cake
dev\040305_205\040305_205.wav,cake
dev\040305_206\040305_206.wav,okay now us need yellow frosting
dev\040305_207\040305_207.wav,yellow cake
dev\040305_208\040305_208.wav,vanilla
dev\040305_209\040305_209.wav,chocolate
dev\040305_21\040305_21.wav,yyy
dev\040305_210\040305_210.wav,chocolate cake
dev\040305_211\040305_211.wav,chocolate
dev\040305_212\040305_212.wav,what us yyy on it now
dev\040305_213\040305_213.wav,cake
dev\040305_214\040305_214.wav,cake
dev\040305_215\040305_215.wav,pink
dev\040305_216\040305_216.wav,yellow
dev\040305_217\040305_217.wav,the heart
dev\040305_218\040305_218.wav,the smiley face
dev\040305_219\040305_219.wav,shape
dev\040305_22\040305_22.wav,um  i dont know
dev\040305_220\040305_220.wav,face
dev\040305_221\040305_221.wav,shape
dev\040305_222\040305_222.wav,us us already do that one
dev\040305_223\040305_223.wav,a heart
dev\040305_224\040305_224.wav,a circle
dev\040305_225\040305_225.wav,brown cake
dev\040305_226\040305_226.wav,cake
dev\040305_227\040305_227.wav,pink cake
dev\040305_228\040305_228.wav,cake
dev\040305_229\040305_229.wav,cake
dev\040305_23\040305_23.wav,a spoon
dev\040305_230\040305_230.wav,shape
dev\040305_231\040305_231.wav,heart shape
dev\040305_232\040305_232.wav,the heart
dev\040305_233\040305_233.wav,me want do it okay
dev\040305_234\040305_234.wav,yyy yyy candy
dev\040305_235\040305_235.wav,whats that candy
dev\040305_236\040305_236.wav,i dont know that
dev\040305_237\040305_237.wav,candy gumdrops
dev\040305_238\040305_238.wav,shape
dev\040305_239\040305_239.wav,shape
dev\040305_24\040305_24.wav,zoidc
dev\040305_240\040305_240.wav,a circle
dev\040305_241\040305_241.wav,pink
dev\040305_242\040305_242.wav,pink
dev\040305_243\040305_243.wav,can me push this
dev\040305_244\040305_244.wav,cake
dev\040305_245\040305_245.wav,cake
dev\040305_246\040305_246.wav,pink
dev\040305_247\040305_247.wav,brown
dev\040305_248\040305_248.wav,pink cake
dev\040305_249\040305_249.wav,candy
dev\040305_25\040305_25.wav,i can throw zishc
dev\040305_250\040305_250.wav,i can yyy
dev\040305_251\040305_251.wav,shape
dev\040305_252\040305_252.wav,i want yyy on cake
dev\040305_253\040305_253.wav,shape
dev\040305_254\040305_254.wav,a rectangle
dev\040305_255\040305_255.wav,cake
dev\040305_256\040305_256.wav,cake
dev\040305_257\040305_257.wav,pink
dev\040305_258\040305_258.wav,beautiful
dev\040305_259\040305_259.wav,it beautiful
dev\040305_26\040305_26.wav,where is it
dev\040305_260\040305_260.wav,beautiful
dev\040305_261\040305_261.wav,beautiful
dev\040305_262\040305_262.wav,no it beautiful
dev\040305_263\040305_263.wav,it a pink frosting is beautiful
dev\040305_264\040305_264.wav,cake
dev\040305_265\040305_265.wav,cake
dev\040305_266\040305_266.wav,shape
dev\040305_267\040305_267.wav,face
dev\040305_268\040305_268.wav,face
dev\040305_269\040305_269.wav,yyy us need to do it again
dev\040305_27\040305_27.wav,wheres zoidc
dev\040305_270\040305_270.wav,yyy i ready to tell mom to come in
dev\040305_271\040305_271.wav,chickens
dev\040305_272\040305_272.wav,play baseball
dev\040305_273\040305_273.wav,baseball
dev\040305_274\040305_274.wav,soccer
dev\040305_275\040305_275.wav,okay
dev\040305_276\040305_276.wav,can i can draw
dev\040305_277\040305_277.wav,a lizards stuck on a ceiling
dev\040305_278\040305_278.wav,ill show you
dev\040305_279\040305_279.wav,a lizards stuck to the ceiling
dev\040305_28\040305_28.wav,i cant yyy yyy
dev\040305_280\040305_280.wav,the lizards
dev\040305_281\040305_281.wav,us throw the lizards
dev\040305_282\040305_282.wav,yeah on the ceiling
dev\040305_283\040305_283.wav,on the ceiling
dev\040305_284\040305_284.wav,next room
dev\040305_285\040305_285.wav,yyy
dev\040305_286\040305_286.wav,they stick on a ceiling
dev\040305_287\040305_287.wav,oh the sticky ball
dev\040305_288\040305_288.wav,no i see it
dev\040305_289\040305_289.wav,i get it
dev\040305_29\040305_29.wav,zoidc
dev\040305_290\040305_290.wav,yyy stick right here
dev\040305_291\040305_291.wav,yyy that really funny
dev\040305_292\040305_292.wav,a squirrel
dev\040305_293\040305_293.wav,drinking out a water bottle
dev\040305_294\040305_294.wav,water
dev\040305_295\040305_295.wav,i dont know
dev\040305_296\040305_296.wav,a straw
dev\040305_297\040305_297.wav,i thirsty
dev\040305_298\040305_298.wav,a squirrel drinking water with a straw
dev\040305_299\040305_299.wav,a dog yyy by a fan
dev\040305_3\040305_3.wav,hockey stick
dev\040305_30\040305_30.wav,stuck
dev\040305_300\040305_300.wav,it blowing yyy the dog
dev\040305_301\040305_301.wav,the fan blowing yyy the doggie
dev\040305_302\040305_302.wav,the ears moving
dev\040305_303\040305_303.wav,baby the baby wear a yyy crab
dev\040305_304\040305_304.wav,wear a yyy crab
dev\040305_305\040305_305.wav,a costume
dev\040305_306\040305_306.wav,a lobster
dev\040305_307\040305_307.wav,red no no red
dev\040305_308\040305_308.wav,its a lobster
dev\040305_309\040305_309.wav,a lobster
dev\040305_31\040305_31.wav,i can try
dev\040305_310\040305_310.wav,pinch
dev\040305_311\040305_311.wav,it can pinch
dev\040305_312\040305_312.wav,a lobster
dev\040305_313\040305_313.wav,it in a bucket
dev\040305_314\040305_314.wav,and a mommy holding it
dev\040305_315\040305_315.wav,lets push this button
dev\040305_316\040305_316.wav,a mouse eating icecream
dev\040305_317\040305_317.wav,a mouse
dev\040305_318\040305_318.wav,one two three
dev\040305_319\040305_319.wav,is this one a mouse
dev\040305_32\040305_32.wav,zishc
dev\040305_320\040305_320.wav,eating a icecream
dev\040305_321\040305_321.wav,pretend to be
dev\040305_322\040305_322.wav,a mouse pretend to be three scoops of icecream
dev\040305_323\040305_323.wav,oh yyy want push the button
dev\040305_324\040305_324.wav,a baby sleeping on a toast
dev\040305_325\040305_325.wav,toast
dev\040305_326\040305_326.wav,no a toast
dev\040305_327\040305_327.wav,it toast
dev\040305_328\040305_328.wav,toast it
dev\040305_329\040305_329.wav,but us yyy eat it
dev\040305_33\040305_33.wav,hey it yyy to mine shoe watch
dev\040305_330\040305_330.wav,us eat it
dev\040305_331\040305_331.wav,it bread
dev\040305_332\040305_332.wav,yyy bread yyy bread
dev\040305_333\040305_333.wav,the baby sleeping on the bread
dev\040305_334\040305_334.wav,yeah on the table
dev\040305_335\040305_335.wav,this one a really really funny picture
dev\040305_336\040305_336.wav,yyy
dev\040305_337\040305_337.wav,and this is yyy another thing
dev\040305_338\040305_338.wav,a doggie
dev\040305_339\040305_339.wav,its a doggie
dev\040305_34\040305_34.wav,in the garbage
dev\040305_340\040305_340.wav,what that
dev\040305_341\040305_341.wav,theres a bottle
dev\040305_342\040305_342.wav,a yyy bottle
dev\040305_343\040305_343.wav,water
dev\040305_344\040305_344.wav,in water
dev\040305_345\040305_345.wav,in water
dev\040305_346\040305_346.wav,um glasses
dev\040305_347\040305_347.wav,a mask
dev\040305_348\040305_348.wav,i dont know
dev\040305_349\040305_349.wav,flippers
dev\040305_35\040305_35.wav,look it stuck
dev\040305_350\040305_350.wav,scuba diver
dev\040305_351\040305_351.wav,i dont know
dev\040305_352\040305_352.wav,a icecream
dev\040305_353\040305_353.wav,a dog yyy  and a girl eating a icecream
dev\040305_354\040305_354.wav,a girl and a doggie
dev\040305_355\040305_355.wav,they licking yyy
dev\040305_356\040305_356.wav,they both licking it
dev\040305_357\040305_357.wav,a horse
dev\040305_358\040305_358.wav,a monkey riding a horse
dev\040305_359\040305_359.wav,a girl yyy a baby seat
dev\040305_36\040305_36.wav,yyy can try
dev\040305_360\040305_360.wav,her sitting on a baby seat
dev\040305_361\040305_361.wav,yyy
dev\040305_362\040305_362.wav,a mouse
dev\040305_363\040305_363.wav,or this one
dev\040305_364\040305_364.wav,a icecream
dev\040305_365\040305_365.wav,no this one this one this one
dev\040305_366\040305_366.wav,a scuba suit
dev\040305_367\040305_367.wav,mama look look
dev\040305_368\040305_368.wav,mom look
dev\040305_369\040305_369.wav,because because because tara wash both of them
dev\040305_37\040305_37.wav,yyy
dev\040305_370\040305_370.wav,yeah because because one went in a garbage
dev\040305_371\040305_371.wav,and her wash it in water
dev\040305_372\040305_372.wav,us gonna go to a dentist
dev\040305_373\040305_373.wav,get out teeth clean
dev\040305_374\040305_374.wav,but yyy not gonna get his teeth cleaned
dev\040305_375\040305_375.wav,no yyy not
dev\040305_376\040305_376.wav,but yyy a diaper rash
dev\040305_377\040305_377.wav,yyy
dev\040305_378\040305_378.wav,you can help me tara
dev\040305_379\040305_379.wav,yeah i can
dev\040305_38\040305_38.wav,i know that
dev\040305_39\040305_39.wav,i dont know
dev\040305_4\040305_4.wav,stool
dev\040305_40\040305_40.wav,it can spin
dev\040305_41\040305_41.wav,i dont know
dev\040305_42\040305_42.wav,spur
dev\040305_43\040305_43.wav,actually i dont like horses
dev\040305_44\040305_44.wav,i like horses
dev\040305_45\040305_45.wav,i like horses
dev\040305_46\040305_46.wav,what sports
dev\040305_47\040305_47.wav,baseball and basketball
dev\040305_48\040305_48.wav,jump in the water
dev\040305_49\040305_49.wav,i know that
dev\040305_5\040305_5.wav,i know that because somebody at my school
dev\040305_50\040305_50.wav,yeah because me and yyy goes to swimming class
dev\040305_51\040305_51.wav,yeah me and yyy
dev\040305_52\040305_52.wav,xxx
dev\040305_53\040305_53.wav,a shoe
dev\040305_54\040305_54.wav,a ice shoe
dev\040305_55\040305_55.wav,i know that yyy
dev\040305_56\040305_56.wav,skate
dev\040305_57\040305_57.wav,ready
dev\040305_58\040305_58.wav,skate
dev\040305_59\040305_59.wav,skate
dev\040305_6\040305_6.wav,um alisha um her yyy a speech cards
dev\040305_60\040305_60.wav,you can help me
dev\040305_61\040305_61.wav,what this
dev\040305_62\040305_62.wav,its in yyy
dev\040305_63\040305_63.wav,try to
dev\040305_64\040305_64.wav,you stick it
dev\040305_65\040305_65.wav,i want to do yyy yyy
dev\040305_66\040305_66.wav,zishc
dev\040305_67\040305_67.wav,skateboard
dev\040305_68\040305_68.wav,um  i dont know
dev\040305_69\040305_69.wav,skis
dev\040305_7\040305_7.wav,and us yyy that stool on mine
dev\040305_70\040305_70.wav,skis
dev\040305_71\040305_71.wav,um to school
dev\040305_72\040305_72.wav,school
dev\040305_73\040305_73.wav,tara us go to a dentist
dev\040305_74\040305_74.wav,today yyy
dev\040305_75\040305_75.wav,yyy
dev\040305_76\040305_76.wav,yyy yyy yyy yyy yyy yyy yyy
dev\040305_77\040305_77.wav,now us gonna go to a dentist now
dev\040305_78\040305_78.wav,us gonna yyy
dev\040305_79\040305_79.wav,but us gonna do yyy
dev\040305_8\040305_8.wav,on mine yyy speech cards
dev\040305_80\040305_80.wav,because us go to a dentist
dev\040305_81\040305_81.wav,us going to a dentist today
dev\040305_82\040305_82.wav,i yyy a note to xxx to give to her teachers because xxx going going to um
dev\040305_83\040305_83.wav,i yyy a note to xxx to give to her teachers because xxx going going to um
dev\040305_84\040305_84.wav,no yyy yyy yyy
dev\040305_85\040305_85.wav,yeah well yyy us gonna pick up xxx
dev\040305_86\040305_86.wav,and yyy us gonna go home
dev\040305_87\040305_87.wav,and yyy and us gonna go to a dentist
dev\040305_88\040305_88.wav,and us yyy our teeth all clean
dev\040305_89\040305_89.wav,and then us gonna go home
dev\040305_9\040305_9.wav,yyy that
dev\040305_90\040305_90.wav,yyy gonna be yyy
dev\040305_91\040305_91.wav,no but her okay
dev\040305_92\040305_92.wav,yeah its yyy
dev\040305_93\040305_93.wav,a scarf
dev\040305_94\040305_94.wav,scarf
dev\040305_95\040305_95.wav,skip
dev\040305_96\040305_96.wav,skip
dev\040305_97\040305_97.wav,but us can play a cake game
dev\040305_98\040305_98.wav,us can play a cake game
dev\040305_99\040305_99.wav,yyy us can play a cake game
test\040214_100\040214_100.wav,yyy
test\040214_101\040214_101.wav,no a girl have a sleeping bag
test\040214_102\040214_102.wav,um the girl yyy it
test\040214_103\040214_103.wav,and her was go night night
test\040214_104\040214_104.wav,yeah her was going night night
test\040214_105\040214_105.wav,the raccoon bit her in a nose
test\040214_106\040214_106.wav,bit her
test\040214_107\040214_107.wav,and hit hers nose
test\040214_108\040214_108.wav,hit nose
test\040214_109\040214_109.wav,a naughty raccoon
test\040214_110\040214_110.wav,a girl was have two pets raccoons
test\040214_111\040214_111.wav,her was try to eat hers lunch
test\040214_112\040214_112.wav,raccoon wanted to eat it too
test\040214_113\040214_113.wav,he wanted yyy too
test\040214_114\040214_114.wav,he grab hers plate
test\040214_115\040214_115.wav,plate
test\040214_116\040214_116.wav,her pick it up
test\040214_117\040214_117.wav,he hold on tight
test\040214_118\040214_118.wav,he hold
test\040214_119\040214_119.wav,her almost spilled her lunch
test\040214_120\040214_120.wav,her almost spilled her lunch
test\040214_121\040214_121.wav,spilled hers lunch
test\040214_122\040214_122.wav,lunch
test\040214_123\040214_123.wav,sleep
test\040214_124\040214_124.wav,her tried to sleep
test\040214_125\040214_125.wav,sleep
test\040214_126\040214_126.wav,a raccoon didnt want to sleep
test\040214_127\040214_127.wav,yyy yyy and the raccoon bit her on the nose
test\040214_128\040214_128.wav,and hit her on the nose
test\040214_129\040214_129.wav,at a hotel
test\040214_130\040214_130.wav,at new york
test\040214_131\040214_131.wav,new york
test\040214_132\040214_132.wav,it was at yyy
test\040214_133\040214_133.wav,yyy raccoons yyy
test\040214_134\040214_134.wav,park
test\040214_135\040214_135.wav,new york
test\040214_136\040214_136.wav,it in the garbage
test\040214_137\040214_137.wav,i thirsty
test\040214_138\040214_138.wav,actually i hungry
test\040214_139\040214_139.wav,a monkey
test\040214_140\040214_140.wav,which one wants
test\040214_141\040214_141.wav,a elephant
test\040214_142\040214_142.wav,a elephant
test\040214_143\040214_143.wav,a elephant
test\040214_144\040214_144.wav,yeah elephant
test\040214_145\040214_145.wav,womc wants a elephant
test\040214_146\040214_146.wav,womc wants a uh zebra
test\040214_147\040214_147.wav,a zebra
test\040214_148\040214_148.wav,womc wants a zebra
test\040214_149\040214_149.wav,womc wants a tiger
test\040214_150\040214_150.wav,yyy tiger
test\040214_151\040214_151.wav,womc wants a tiger
test\040214_152\040214_152.wav,tiger
test\040214_153\040214_153.wav,womc wants a giraffe
test\040214_154\040214_154.wav,giraffe
test\040214_155\040214_155.wav,yyy
test\040214_156\040214_156.wav,i want a pig
test\040214_157\040214_157.wav,womc wants a pig
test\040214_158\040214_158.wav,womc wants a goat
test\040214_159\040214_159.wav,0wants a goat
test\040214_160\040214_160.wav,womc wants a duck
test\040214_161\040214_161.wav,womc wants a frog
test\040214_162\040214_162.wav,wants a frog
test\040214_163\040214_163.wav,womc wants a sheep
test\040214_164\040214_164.wav,sheep
test\040214_165\040214_165.wav,womc wants a cow
test\040214_166\040214_166.wav,womc wants a fish
test\040214_167\040214_167.wav,womc wants a fish
test\040214_168\040214_168.wav,womc wants a fish
test\040214_169\040214_169.wav,womc wants a rabbit
test\040214_170\040214_170.wav,rabbit
test\040214_171\040214_171.wav,womc wants a tiger
test\040214_172\040214_172.wav,wants a tiger
test\040214_173\040214_173.wav,a lion
test\040214_174\040214_174.wav,womc wants a chicken
test\040214_175\040214_175.wav,womc wants a dog
test\040214_176\040214_176.wav,dog
test\040214_177\040214_177.wav,dog
test\040214_178\040214_178.wav,dog
test\040214_179\040214_179.wav,womc wants a monkey
test\040214_180\040214_180.wav,monkey
test\040214_181\040214_181.wav,monkey
test\040214_182\040214_182.wav,womc wants a horse
test\040214_183\040214_183.wav,horse
test\040214_184\040214_184.wav,us yyy a real horse when us in new york
test\040214_185\040214_185.wav,yyy lots
test\040214_186\040214_186.wav,panda
test\040214_187\040214_187.wav,panda
test\040214_188\040214_188.wav,womc wants a turtle
test\040214_189\040214_189.wav,a pirates
test\040214_190\040214_190.wav,i think pirates are scary
test\040214_191\040214_191.wav,parrots
test\040214_192\040214_192.wav,chest
test\040214_193\040214_193.wav,i like chests
test\040214_194\040214_194.wav,a cars
test\040214_195\040214_195.wav,a blue a yellow a red
test\040214_196\040214_196.wav,what is that
test\040214_197\040214_197.wav,a wasp
test\040214_198\040214_198.wav,wasp
test\040214_199\040214_199.wav,wasps
test\040214_200\040214_200.wav,a beds
test\040214_201\040214_201.wav,beds
test\040214_202\040214_202.wav,a cradle a bunkbed and a
test\040214_203\040214_203.wav,a cradle and a bunkbed
test\040214_204\040214_204.wav,yyy a bunkbed
test\040214_205\040214_205.wav,yyy a bunkbed
test\040214_206\040214_206.wav,no but my sister dont
test\040214_207\040214_207.wav,nobody dont
test\040214_208\040214_208.wav,yeah but yyy all the bunkbed
test\040214_209\040214_209.wav,its really yyy
test\040214_210\040214_210.wav,and a cradle boring
test\040214_211\040214_211.wav,a crib
test\040214_212\040214_212.wav,thats boring
test\040214_213\040214_213.wav,yeah and a baby sleep a babys cradles
test\040214_214\040214_214.wav,fox
test\040214_215\040214_215.wav,a fox
test\040214_216\040214_216.wav,spoons
test\040214_217\040214_217.wav,a halloween costume
test\040214_218\040214_218.wav,a ghost
test\040214_219\040214_219.wav,bathie
test\040214_220\040214_220.wav,i can push this
test\040214_221\040214_221.wav,two tubs
test\040214_222\040214_222.wav,a mask
test\040214_223\040214_223.wav,right here
test\040214_224\040214_224.wav,a cast
test\040214_225\040214_225.wav,because yyy
test\040214_226\040214_226.wav,yyy i know this is a cast
test\040214_227\040214_227.wav,what is those
test\040214_228\040214_228.wav,groundhogs
test\040214_229\040214_229.wav,holes
test\040214_230\040214_230.wav,three pigs
test\040214_231\040214_231.wav,stairs
test\040214_232\040214_232.wav,question
test\040214_233\040214_233.wav,ask a question
test\040214_234\040214_234.wav,desk
test\040214_235\040214_235.wav,a apples
test\040214_236\040214_236.wav,i dont know
test\040214_237\040214_237.wav,worms
test\040214_238\040214_238.wav,cups
test\040214_239\040214_239.wav,pools
test\040214_240\040214_240.wav,crayons
test\040214_241\040214_241.wav,gasp
test\040214_242\040214_242.wav,two womsc
test\040214_243\040214_243.wav,a penguins
test\040214_244\040214_244.wav,make pancakes
test\040214_245\040214_245.wav,add a egg
test\040214_246\040214_246.wav,he can add a egg
test\040214_247\040214_247.wav,he can add add a egg
test\040214_248\040214_248.wav,add a egg
test\040214_249\040214_249.wav,eggs
test\040214_250\040214_250.wav,the milk
test\040214_251\040214_251.wav,she can add yyy milk
test\040214_252\040214_252.wav,milk
test\040214_253\040214_253.wav,add the milk
test\040214_254\040214_254.wav,she can add a flour
test\040214_255\040214_255.wav,flour
test\040214_256\040214_256.wav,she can add the flour
test\040214_257\040214_257.wav,she can add
test\040214_258\040214_258.wav,stir
test\040214_259\040214_259.wav,stir
test\040214_260\040214_260.wav,stir
test\040214_261\040214_261.wav,stir
test\040214_262\040214_262.wav,stir it
test\040214_263\040214_263.wav,stir it
test\040214_264\040214_264.wav,he can stir it
test\040214_265\040214_265.wav,stir it
test\040214_266\040214_266.wav,stir
test\040214_267\040214_267.wav,pour it
test\040214_268\040214_268.wav,he can pour it
test\040214_269\040214_269.wav,in a pan
test\040214_270\040214_270.wav,he can cook it
test\040214_271\040214_271.wav,flip it
test\040214_272\040214_272.wav,flip it
test\040214_273\040214_273.wav,flip it
test\040214_274\040214_274.wav,he can flip it
test\040214_275\040214_275.wav,stuck to a ceiling
test\040214_276\040214_276.wav,he flip it
test\040214_277\040214_277.wav,eat it
test\040214_82\040214_82.wav,a lunch
test\040214_83\040214_83.wav,and her was walking and her almost spilled hers food
test\040214_84\040214_84.wav,yeah her almost but her didnt
test\040214_85\040214_85.wav,try to not let her eat a lunch
test\040214_86\040214_86.wav,yyy try to keep a yyy raccoon away
test\040214_87\040214_87.wav,yeah because her yyy didnt want the raccoons eat a lunch
test\040214_88\040214_88.wav,yyy the raccoon
test\040214_89\040214_89.wav,yyy
test\040214_90\040214_90.wav,yyy the raccoon
test\040214_91\040214_91.wav,her take a plate and her drop a raccoon
test\040214_92\040214_92.wav,drop
test\040214_93\040214_93.wav,um hers taking a plate
test\040214_94\040214_94.wav,no yyy dont drop the raccoon
test\040214_95\040214_95.wav,no just a raccoon fall
test\040214_96\040214_96.wav,a raccoon fall
test\040214_97\040214_97.wav,try to steal a lunch
test\040214_98\040214_98.wav,oh yeah this is the funniest part
test\040214_99\040214_99.wav,the girl is in a bed
test\040221_1\040221_1.wav,a match
test\040221_10\040221_10.wav,i want this card
test\040221_100\040221_100.wav,xxx
test\040221_101\040221_101.wav,ake ake
test\040221_102\040221_102.wav,say
test\040221_103\040221_103.wav,say pete
test\040221_104\040221_104.wav,this pete
test\040221_105\040221_105.wav,a pin
test\040221_106\040221_106.wav,pin
test\040221_107\040221_107.wav,this pete
test\040221_108\040221_108.wav,this pete
test\040221_109\040221_109.wav,rip
test\040221_11\040221_11.wav,an airplane
test\040221_110\040221_110.wav,yyy rip
test\040221_111\040221_111.wav,yyy rip
test\040221_112\040221_112.wav,a boy
test\040221_113\040221_113.wav,boy
